# Example: EHB	Number of Groups: 128	Number of Loops: 3	Group Size: 10	Time unit: ms		

# Number of Nodes	Akka Time	STDDEV	TAkka Time	STDDEV	Akka Speed up	TAkka Speed up
1	2760.6	574.787149009672	3563.9	672.283744659451	1	1
4	1170.5	137.21293265902	986.9	27.4730170652345	2.35847928235797	3.61120680920053
8	599.3	127.089688365693	568.8	40.644256120091	4.60637410312031	6.26564697609002
12	448.4	28.9911864001612	444.2	29.3817781777906	6.15655664585192	8.0231877532643
16	451.2	23.7477484312841	443.4	28.9259591217147	6.11835106382979	8.03766350924673
20	362.7	22.6374812104959	327.8	30.1801995428202	7.61124896608768	10.8721781574131
24	352.5	20.8393324695821	331.8	16.3625588870853	7.83148936170213	10.7411091018686
28	336.6	24.0564151758135	308.5	18.656247091941	8.20142602495544	11.5523500810373
32	337.1	36.8071551015107	360.3	17.1013319819117	8.18926134678137	9.89147932278657
