# Example: FIB	Number of Processes: 200	fib(20)	Time unit: ms	Time unit: ms		
						
Number of Nodes	Akka Time	STDDEV	TAkka Time	STDDEV	Akka Speed up	TAkka Speed up
1	264.6	2.11869981094276	265.5	3.53553390593274	1	1
4	192.6	3.33999334663343	195.9	2.99814757623585	1.37383177570093	1.35528330781011
8	194.1	5.40473043833928	195.9	5.74359546703012	1.36321483771252	1.35528330781011
12	195.1	4.99888876540466	194.3	2.83039062871384	1.35622757560226	1.36644364384972
16	193.5	2.41522945769824	197	4.02768199119819	1.36744186046512	1.34771573604061
20	193.1	1.85292561462497	193.8	3.82390143992	1.37027446918695	1.36996904024768
24	192.6	2.41292814278051	197.2	4.13118223595458	1.37383177570093	1.34634888438134
28	186	13.0042728020874	177.8	15.4976700757816	1.42258064516129	1.49325084364454
32	175	14.4529889257859	171.3	10.6358931088189	1.512	1.54991243432574
