# Example: FIB	Number of Processes: 200	fib(40)	Time unit: ms	Time unit: ms		
						
Number of Nodes	Akka Time	STDDEV	TAkka Time	STDDEV	Akka Speed up	TAkka Speed up
1	29084.4	254.82246543209	37086.9	416.284478051568	1	1
4	7593.6	124.846750502811	9711.1	130.815773768558	3.8301201011378	3.81902153206125
8	4020.7	291.038771758449	5137.9	54.0338371352207	7.23366577959062	7.21829930516359
12	2700.3	18.2516361519241	3434.7	91.056819867841	10.770803244084	10.7977115905319
16	2181.8	24.5709855995508	2751.8	315.786777571337	13.3304610871757	13.4773239334254
20	1836.1	64.407470236163	2288.7	37.3126430762193	15.8403137084037	16.2043518154411
24	1735	43.2897216438267	1996.5	37.7160443312922	16.7633429394813	18.5759579263712
28	1501.7	217.163558432604	1836.4	54.1893798533337	19.3676499966704	20.1954367240253
32	1389.4	153.661388195676	1690.3	45.0655078746484	20.9330646322153	21.9410163876235
