# Example: FIB	Number of Processes: 200	fib(35)	Time unit: ms	Time unit: ms		
						
Number of Nodes	Akka Time	STDDEV	TAkka Time	STDDEV	Akka Speed up	TAkka Speed up
1	2712.3	106.856133812399	3394.2	21.6220052518519	1	1
4	721.9	16.8881944301666	927.9	18.8823845010222	3.75716858290622	3.65793727772389
8	392.9	35.7536322941072	518.3	12.481541927538	6.90328327818784	6.54871695928999
12	281.5	35.4063710525537	391.5	9.32440048713291	9.63516873889876	8.66973180076628
16	247.7	11.776152927751	337.7	11.776152927751	10.9499394428744	10.0509327805745
20	240.2	3.8815804341359	294.3	10.9549582888805	11.2918401332223	11.533129459735
24	211.3	4.69160005873381	295.8	6.25033332444492	12.8362517747279	11.474645030426
28	209.9	8.84998430632632	272.8	8.61265219184995	12.921867555979	12.442082111437
32	204.9	8.22529972435993	246.9	55.7921738836789	13.2371888726208	13.7472660996355
