# Example: Parallel	processes:256	loops:6000	Time unit: ms

# Number of Nodes	Akka Time	STDDEV			TAkka Time	STDDEV			Akka Speed up		TAkka Speed up
1	824.9	12.2242927539115	924.2	8.71524845059253	1	1
4	831.1	14.2396160996941	876.6	10.5640901169954	0.992540007219348	1.05430070727812
8	850.3	15.8117396611224	882.7	14.5070863909868	0.97012819005057	1.04701484082927
12	850.1	15.8215745810024	888.1	12.3868209534704	0.970356428655452	1.04064857561085
16	854.9	15.8075228223077	883.9	7.73807326004205	0.9649081763949		1.04559339291775
20	861.6	15.6432449035074	903.6	9.14330356052997	0.957404828226555	1.0227976980965
24	869.8	12.9854619564428	917.4	13.8178628352337	0.948378937686825	1.00741225201657
28	869.4	17.4432412890112	885.5	20.3810914547992	0.948815274902231	1.04370412196499
32	870.9	22.3430327196446	902.8	9.58934593992497	0.947181077046733	1.02370403190075
