# Example: RUN	Number of Processes: 6000	List Lenth:100000	Time unit: ms			

# Number of Nodes	Akka Time	STDDEV	TAkka Time	STDDEV	Akka Speed up	TAkka Speed up
1	97992.8	6408.87951985368	94297.6	3990.2895007756	1	1
4	36814	2743.35679414837	32887.2	1539.3483036662	2.66183517140218	2.86730399669172
8	28850.8	977.008034767371	28451.6	116.628898648663	3.39653666449457	3.31431624232029
12	28609.2	752.03470664591	28494.6	421.749096027484	3.42521985934594	3.30931474735564
16	27542.4	514.718661017842	27825	276.39012283365	3.55788892761706	3.38895238095238
20	27942.8	834.606314378222	27730.4	916.071394597604	3.50690696708991	3.40051351585264
24	28001.2	1018.7431962963	28214	1357.35257026316	3.49959287459109	3.34222726306089
28	27737.2	556.249674157208	28137.6	1017.10904036883	3.53290166274894	3.35130217218242
32	33838.4	2033.4317790376	36115.2	2839.30699291218	2.89590524374675	2.61102250575935
