# Example: Big	Number of Processes: 1024		Time unit: ms

# Number of Nodes	Akka Time	STDDEV	TAkka Time	STDDEV	Akka Speed up	TAkka Speed up
1	7142.8	242.40177850466	7714.4	714.474663262767	1	1
4	6952.6	333.997072508794	9100.8	324.844167768691	1.02735667232402	0.847661744022504
8	4132	152.478778122655	5026.1	122.144222585889	1.72865440464666	1.53486798909691
12	4338.1	190.260318744842	4933.1	133.961395765928	1.64652728152878	1.56380369341793
16	4258.7	315.216697950262	5075.2	677.510114725644	1.67722544438444	1.52001891551072
20	4296.7	344.912243267118	5045.9	256.129502834449	1.66239206833151	1.52884520105432
24	4282.6	227.428230437648	5995.3	1071.56169003728	1.66786531546257	1.28674128066986
28	4476.2	200.977500122664	5786.5	1231.52671735353	1.59572851972655	1.33317203836516
32	4434.9	331.406581440716	5462.1	591.324586556881	1.61058873931768	1.41235056113949
