# NQueen	n:14 	print all solutions	Time unit: ms			
						
# Number of Nodes	Akka Time	STDDEV	TAkka Time	STDDEV	Akka Speed up	TAkka Speed up
1	84849.1	199.790696035181	85797.4	169.466614214521	1	1
4	23556.1	66.6073903140218	23886.9	311.285310357627	3.6020011801614	3.59181810950772
8	11399.1	49.6687919008394	11472.2	20.9433097246405	7.44349115281031	7.47872247694426
12	7770.5	29.1899906741259	7800.6	41.6178380558679	10.9193874268065	10.9988206035433
16	6142.8	17.2033588451661	6168.1	16.2237822689751	13.8127726769551	13.9098587895786
20	5027	15.6133845715072	5035.6	18.0135751279109	16.8786751541675	17.0381682421161
24	4303	47.8725158914567	4295.1	7.59312554588396	19.7185916802231	19.9756466671323
28	3858.6	82.2519165599062	3923.9	78.2949551376077	21.9896076297103	21.8653380565254
32	3595.8	76.8704537951134	3637.4	74.4792290209529	23.5967239557261	23.5875625446748
