# Example: FIB	Number of Processes: 200	fib(30)	Time unit: ms	Time unit: ms		
						
Number of Nodes	Akka Time	STDDEV	TAkka Time	STDDEV	Akka Speed up	TAkka Speed up
1	559.9	61.9362575556515	502	45.0752457317515	1	1
4	202.4	5.94792213951879	203.1	4.17532433869913	2.76630434782609	2.47168882323978
8	187.4	31.8161384625266	206.3	3.65300485141266	2.98772678762006	2.43334949103248
12	196.1	2.33095116493961	173.5	10.3091113961281	2.85517593064763	2.89337175792507
16	194.2	1.3984117975602	200.5	4.64877522699378	2.88311019567456	2.50374064837905
20	209.9	32.3880979510821	204.3	4.16466618643613	2.66746069556932	2.45717082721488
24	197.1	2.80673792466945	199.7	5.25039681040078	2.84069000507357	2.51377065598398
28	194.2	2.39443799947573	196.3	3.26768691550733	2.88311019567456	2.55731023942944
32	196.5	2.0138409955991	200	3.2659863237109	2.84936386768448	2.51
