# Example: Bang	Number of Processes: 512	Number of messages / process: 2000	Time unit: ms	

# Number of Nodes	Akka Time	STDDEV			TAkka Time	STDDEV			Akka Speed up		TAkka Speed up
1			32194.1		1789.61786423806	33058.3		1725.61441875705	1			1
4			12589.1		359.569016709974	13045.9		2045.29136473674	2.55729956867449	2.53399918748419
8			13963.2		439.854470882763	12857.5		876.395173423496	2.30563910851381	2.57112969084192
12			13677.3		346.122666117086	13254.5		508.162102308134	2.35383445563086	2.49411897846015
16			13227.4		482.492878473639	12737.1		525.256857800702	2.43389479413944	2.59543381146415
20			13179.2		664.347265282916	12725.5		495.963764357393	2.44279622435353	2.59779969352874
24			13293.1		385.908581575136	12511.1		356.49386779828		2.42186547908313	2.64231762195171
28			12848.3		521.637177015255	12599.3		476.702341322363	2.50570892647276	2.62382037097299
32			12998.4		727.193264850854	13179.7		576.645481306418	2.47677406450025	2.50827408818107
