# Example: MBrot	np: 256 n:6000		Time unit: ms

# Number of Nodes	Akka Time	STDDEV			TAkka Time	STDDEV			Akka Speed up		TAkka Speed up
1	20917.5	23.9362579457284	20960.3	67.2541613747597	1			1
4	5832.3	42.7552465916303	5899.6	36.5519417328881	3.5864924643794		3.55283409044681
8	3425.8	74.2904210963073	3396.5	76.8262831183299	6.10587308074026	6.17114676873252
12	2526.6	48.0166637741524	2547.1	13.4118521382312	8.27891237235811	8.22908405637784
16	2124.9	24.5558320748634	2139	16.2617478902006	9.84399265847804	9.79911173445535
20	1919.9	13.287002839032		1935.1	34.6328360567444	10.8950987030574	10.8316366079272
24	1781.4	27.6654618211549	1816.9	29.0877981291125	11.7421690804985	11.5362980901536
28	1739.3	20.4235702613971	1756.3	17.3272425196086	12.0263899269821	11.9343506234698
32	1512.2	35.2193128837006	1502.1	53.246700471589		13.8324957016268	13.9539977365022
