# Example: MBrot	np: 256 n:10		Time unit: ms			
						
# Number of Nodes	Akka Time	STDDEV	TAkka Time	STDDEV	Akka Speed up	TAkka Speed up
1	170.1	6.36745195855017	274.8	2.14993539954628	1	1
4	177.2	16.598527377786	213.7	17.282296658077	0.959932279909706	1.28591483387927
8	157	4.10960933531265	197.4	6.27517153373338	1.08343949044586	1.39209726443769
12	162.3	9.88882646671934	191.9	2.92308816911917	1.04805914972274	1.43199583116206
16	159.9	11.5224418708304	196.2	6.17881685905787	1.06378986866792	1.40061162079511
20	162.2	5.67254596964871	187.1	31.7995457689432	1.04870530209618	1.46873329770176
24	160.9	4.72463990397387	192.9	3.07137319994385	1.05717837165942	1.42457231726283
28	153.6	4.27395211328656	170.3	21.6489671295833	1.107421875	1.61362301820317
32	158.3	9.45221902224258	200.3	5.056349144063	1.07454200884397	1.3719420868697
