# Number of Actors	AKKA Time(sec)	STDDEV TAKKA Time(sec)	STDDEV

1	470.1	29.3539700135357	885.1	28.1521658925995
2	653.9	39.0624855555529	1207.4	81.0078185526969
3	696.8	58.5335611233229	1370.3	97.7582619412691
4	758.5	54.207932998778	1544.3	324.313993942085
5	794.9	39.0596410064859	1619.5	278.724973963782
6	906.6	71.4394848805617	2251.7	150.242063942751
7	981.4	63.0135787835536	2249.2	61.8614940366335
8	1048.1	147.208431219894	2316.3	115.9444790502
9	1382.1	72.6566506858724	2405.1	95.394444282673
10	1420.6	63.8352044982495	2351.5	180.362135715898
